"","SSD","MSD","df","sigma2","P.value","Variance coefficients"
"st.SiteName",3.07996598350285,0.61599319670057,5,"0.0146735792492465","0.001998001998002","17.9539699898139"
"st.subpop",0.531722221284605,0.0886203702141009,6,"0.00433108588262835","0","18.008939715927"
"Error",2.21547758783328,0.0108601842540847,204,"0.0108601842540847",NA,"35.9240740740741"
"Total",5.82716579262074,0.0271030967098639,215,"","",""
