"","SSD","MSD","df","sigma2","P.value","Variance coefficients"
"st.SiteName",0.0809042463440013,0.0809042463440013,1,"0.0002324714332738","0.337662337662338","15.6724137931034"
"st.subpop",0.146803244610325,0.0734016223051627,2,"0.00363628011362209","0","15.7345374931582"
"Error",0.9683278061138,0.0164123356968441,59,"0.0164123356968441",NA,"31.3015873015873"
"Total",1.19603529706813,0.0192908918881956,62,"","",""
