"","SSD","MSD","df","sigma2","P.value","Variance coefficients"
"st.SiteName",0.106507981067812,0.106507981067812,1,"0.000184629583005776","0.310689310689311","19.7435897435897"
"st.subpop",0.198342729399011,0.0991713646995057,2,"0.00461291235362061","0","19.7533268419344"
"Error",0.607193674986253,0.00809591566648337,75,"0.00809591566648337",NA,"39.4936708860759"
"Total",0.912044385453076,0.0116928767365779,78,"","",""
