num FL SC-BI SC-FB RI MA-WE MA-SW
0 0 0 0 0 0 0
103 0 0 0 0 0 1
133 0 0 0 0 1 0
15 0 0 0 0 1 1
73 0 0 0 1 0 0
20 0 0 0 1 0 1
26 0 0 0 1 1 0
6 0 0 0 1 1 1
102 0 0 1 0 0 0
4 0 0 1 0 0 1
4 0 0 1 0 1 0
2 0 0 1 0 1 1
12 0 0 1 1 0 0
1 0 0 1 1 0 1
1 0 0 1 1 1 0
0 0 0 1 1 1 1
98 0 1 0 0 0 0
5 0 1 0 0 0 1
11 0 1 0 0 1 0
1 0 1 0 0 1 1
10 0 1 0 1 0 0
2 0 1 0 1 0 1
0 0 1 0 1 1 0
0 0 1 0 1 1 1
11 0 1 1 0 0 0
0 0 1 1 0 0 1
1 0 1 1 0 1 0
0 0 1 1 0 1 1
0 0 1 1 1 0 0
0 0 1 1 1 0 1
0 0 1 1 1 1 0
0 0 1 1 1 1 1
129 1 0 0 0 0 0
8 1 0 0 0 0 1
6 1 0 0 0 1 0
2 1 0 0 0 1 1
13 1 0 0 1 0 0
4 1 0 0 1 0 1
0 1 0 0 1 1 0
0 1 0 0 1 1 1
7 1 0 1 0 0 0
0 1 0 1 0 0 1
0 1 0 1 0 1 0
0 1 0 1 0 1 1
1 1 0 1 1 0 0
0 1 0 1 1 0 1
0 1 0 1 1 1 0
0 1 0 1 1 1 1
7 1 1 0 0 0 0
0 1 1 0 0 0 1
3 1 1 0 0 1 0
1 1 1 0 0 1 1
0 1 1 0 1 0 0
0 1 1 0 1 0 1
0 1 1 0 1 1 0
0 1 1 0 1 1 1
1 1 1 1 0 0 0
0 1 1 1 0 0 1
0 1 1 1 0 1 0
0 1 1 1 0 1 1
0 1 1 1 1 0 0
0 1 1 1 1 0 1
0 1 1 1 1 1 0
1 1 1 1 1 1 1
