"","SSD","MSD","df","sigma2","P.value","Variance coefficients"
"st.SiteName",2876.44483502299,2876.44483502299,1,"5.42188728047628","0.31968031968032","19.7435897435897"
"st.subpop",5322.40575745467,2661.20287872734,2,"114.174101951645","0","19.7533268419344"
"Error",30524.7187838448,406.996250451264,75,"406.996250451264",NA,"39.4936708860759"
"Total",38723.5693763224,496.45601764516,78,"","",""
