"","SSD","MSD","df","sigma2","P.value","Variance coefficients"
"st.SiteName",50330.6734311079,10066.1346862216,5,"218.015648330335","0.000999000999000999","17.9539699898139"
"st.subpop",13372.2173492225,2228.70289153709,6,"98.626919608275","0","18.008939715927"
"Error",93423.4598872755,457.958136702331,204,"457.958136702331",NA,"35.9240740740741"
"Total",157126.350667606,730.820235663284,215,"","",""
