"","sites","fst","pops1","pops2","km"
"78","NHH.TBI.pops.fst",0.238677473491773,"NHH","TBI",1049.07249114266
"79","NHH.TFB.pops.fst",0.23070728738574,"NHH","TFB",1050.7379845781
"80","NHH.WES.pops.fst",0.189328625228519,"NHH","WES",12.9712385960118
"81","NHH.WET.pops.fst",0.245670787934186,"NHH","WET",12.9823049084952
"82","RIS.RIT.pops.fst",0.243975948446069,"RIS","RIT",0.022561390011446
"83","RIS.SBI.pops.fst",0.245923813162706,"RIS","SBI",992.364809022142
"84","RIS.SCT.pops.fst",0.236613346617916,"RIS","SCT",991.501143133185
"85","RIS.SFB.pops.fst",0.24340252285192,"RIS","SFB",993.789581874385
"86","RIS.SWS.pops.fst",0.259158880073126,"RIS","SWS",62.546855853148
"87","RIS.SWT.pops.fst",0.276721482998172,"RIS","SWT",62.6230384590403
"88","RIS.TBI.pops.fst",0.256260955027422,"RIS","TBI",992.271409122557
"89","RIS.TFB.pops.fst",0.251597485557587,"RIS","TFB",993.932334840499
"90","RIS.WES.pops.fst",0.270570885557587,"RIS","WES",62.9316924263966
"91","RIS.WET.pops.fst",0.268019644241316,"RIS","WET",62.9535813484199
"92","RIT.SBI.pops.fst",0.182209352468007,"RIT","SBI",992.342605906792
"93","RIT.SCT.pops.fst",0.160759256672761,"RIT","SCT",991.478946231865
"94","RIT.SFB.pops.fst",0.177838380621572,"RIT","SFB",993.767377758781
"95","RIT.SWS.pops.fst",0.146748463619744,"RIT","SWS",62.5684291540029
"96","RIT.SWT.pops.fst",0.249349737111517,"RIT","SWT",62.6446162892565
"97","RIT.TBI.pops.fst",0.201409311151737,"RIT","TBI",992.249205896919
"98","RIT.TFB.pops.fst",0.174412345155393,"RIT","TFB",993.910131021587
"99","RIT.WES.pops.fst",0.239233074954296,"RIT","WES",62.9532103286571
"100","RIT.WET.pops.fst",0.210965260329068,"RIT","WET",62.9751019015417
"101","SBI.SCT.pops.fst",0.102824247166362,"SBI","SCT",1.75379715040206
"102","SBI.SFB.pops.fst",0.0718502676416819,"SBI","SFB",1.44605908157152
"103","SBI.SWS.pops.fst",0.203513951736746,"SBI","SWS",1048.35953661617
"104","SBI.SWT.pops.fst",0.257825344424132,"SBI","SWT",1048.44682127618
"105","SBI.TBI.pops.fst",0.11743369725777,"SBI","TBI",0.0972853878472476
"106","SBI.TFB.pops.fst",0.103091300914077,"SBI","TFB",1.57713738757419
"107","SBI.WES.pops.fst",0.244162829981718,"SBI","WES",1048.47869392921
"108","SBI.WET.pops.fst",0.222912476416819,"SBI","WET",1048.50918827738
"109","SCT.SFB.pops.fst",0.108296182084095,"SCT","SFB",2.89587318684868
"110","SCT.SWS.pops.fst",0.199452574771481,"SCT","SWS",1047.45423561186
"111","SCT.SWT.pops.fst",0.246788574771481,"SCT","SWT",1047.54152843585
"112","SCT.TBI.pops.fst",0.151270781718464,"SCT","TBI",1.73400521119212
"113","SCT.TFB.pops.fst",0.0521663623400366,"SCT","TFB",2.96738168887048
"114","SCT.WES.pops.fst",0.235736549177331,"SCT","WES",1047.57247823261
"115","SCT.WET.pops.fst",0.214872057404022,"SCT","WET",1047.60299049426
"116","SFB.SWS.pops.fst",0.19967999488117,"SFB","SWS",1049.7905504882
"117","SFB.SWT.pops.fst",0.253376403290676,"SFB","SWT",1049.87783400439
"118","SFB.TBI.pops.fst",0.154652542230347,"SFB","TBI",1.53402330121717
"119","SFB.TFB.pops.fst",0.108871637659963,"SFB","TFB",0.160526388473302
"120","SFB.WES.pops.fst",0.239984350274223,"SFB","WES",1049.90983409491
"121","SFB.WET.pops.fst",0.216630942595978,"SFB","WET",1049.94032596903
"122","SWS.SWT.pops.fst",0.256463383912249,"SWS","SWT",0.0874727325685341
"123","SWS.TBI.pops.fst",0.220930115173675,"SWS","TBI",1048.26691873581
"124","SWS.TFB.pops.fst",0.210117728702011,"SWS","TFB",1049.93123915374
"125","SWS.WES.pops.fst",0.255406106032907,"SWS","WES",0.646402025518973
"126","SWS.WET.pops.fst",0.215095314808044,"SWS","WET",0.640590920376358
"127","SWT.TBI.pops.fst",0.261839321755027,"SWT","TBI",1048.35420323225
"128","SWT.TFB.pops.fst",0.260051891407678,"SWT","TFB",1050.01852309499
"129","SWT.WES.pops.fst",0.266114795612431,"SWT","WES",0.641875742603225
"130","SWT.WET.pops.fst",0.259524590859232,"SWT","WET",0.631710519247944
"131","TBI.TFB.pops.fst",0.150879836197441,"TBI","TFB",1.66738334189879
"132","TBI.WES.pops.fst",0.247691956124314,"TBI","WES",1048.38609418962
"133","TBI.WET.pops.fst",0.232730254478976,"TBI","WET",1048.41658818144
"134","TFB.WES.pops.fst",0.249587701279708,"TFB","WES",1050.05047574793
"135","TFB.WET.pops.fst",0.228732416087751,"TFB","WET",1050.08096854556
"136","WES.WET.pops.fst",0.237707081170018,"WES","WET",0.0329451373461648
